,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Energy,10,9,9,9,9,10,9,8,10,11,7,11,9,9
Energy excluding alcohol,9,8,9,9,9,9,9,8,9,10,7,10,9,9
Protein,17,14,16,22,16,17,16,15,17,19,13,20,17,16
Calcium,9,7,8,8,8,8,8,7,8,9,6,9,8,8
Iron,9,7,8,8,10,10,9,9,9,11,7,11,10,9
Zinc,12,10,11,10,11,11,11,10,11,13,9,13,11,10
Magnesium,9,8,9,8,8,9,8,8,9,10,7,10,9,8
Sodium,18,16,17,16,17,18,17,15,18,20,13,20,17,16
Potassium,11,9,10,10,9,10,9,9,10,11,8,12,10,10
Thiamin,22,18,21,20,21,22,20,19,22,25,16,26,21,21
Riboflavin,11,9,10,10,10,11,10,9,10,12,8,12,10,9
Niacin equivalent,26,22,26,23,24,26,25,23,25,29,19,30,26,24
Vitamin B6,26,22,25,22,23,24,23,21,24,27,18,29,24,22
Vitamin B12,39,31,36,33,34,36,34,32,36,41,28,42,34,32
Folate,18,15,17,17,18,19,18,16,19,21,14,22,18,18
Vitamin C,21,17,19,19,20,21,19,18,21,24,16,24,20,20
Vitamin A (retinol equivalent),17,13,16,15,15,16,15,14,16,18,12,19,14,14